ID,sp,sp.x,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,sp.y,oral_PC1,oral_PC2,d15N,d13C
JDA9,Erecya,Erecya,-0.0574179323855257,0.0081861325880212,NA,NA,NA,-0.00696357799858884,-0.00271591043716459,5.210720092,-11.12603585
JDB1,Erecya,Erecya,-0.0469744196705386,-0.0133848980005578,NA,NA,NA,0.00220996707808334,0.00241952205419412,4.057126003,-11.72144451
JDB2,Ctehor,Ctehor,-0.0279282375739459,-0.0436762296608532,-0.0073796155485087,-0.0394711656650907,Ctehor,0.0224939034726057,0.000360698417759791,7.920379152,-20.49314902
JDB4,Oretan,Oretan,-0.074657140801697,-0.0246934707803902,NA,NA,NA,-0.00830759287651298,0.0030897134734857,4.544448854,-17.39180059
JDB5,Ctehor,Ctehor,-0.0260910955475327,-0.0329547469305903,-0.0784270635285458,-0.0617008721991148,Ctehor,0.0234020755695872,-0.00761789239731046,8.466882937,-21.36343561
JDB6,Ctehor,Ctehor,-0.0300209849264456,-0.0412118770127888,-0.0464864923581248,-0.0289269110165442,Ctehor,0.0258241107068211,-0.00614355572761841,8.434837734,-21.85399295
JDB7,Simdia,Simdia,-0.0536477735187089,0.0195321617516324,0.0332769501804153,-0.0224355734777327,Simdia,-0.0139334364971923,-0.000174461879657011,9.590481763,-16.97955315
JDB8,Simdia,Simdia,-0.063526638487609,0.0247972292810925,0.00715755622882306,-0.0250262209979138,Simdia,-0.0267251011240733,0.00364892243352359,6.818676471,-15.31870748
JDB9,Simdia,Simdia,-0.0636432294391105,0.024917942273716,-0.0111570322558696,-0.020564232254277,Simdia,-0.0235064817497302,0.00554128133097212,7.933193366,-17.48415925
JDC1,Simdia,Simdia,-0.0662866186218917,0.0182869818134814,0.0444617350654822,-0.0260264925008409,Simdia,-0.0250563441920668,0.00796654281608774,4.988913354,-13.3558015
JDC2,Simdia,Simdia,-0.0603323036118575,0.0310983960114144,NA,NA,NA,-0.0282278962698362,0.00423165427125957,5.536413411,-17.14376918
JDC3,Ctehor,Ctehor,-0.0287459919625515,-0.0372282076761745,NA,NA,NA,0.0120718279348648,0.00320223843372807,7.798407763,-16.89497723
JDC4,Neochr,Neochr,0.0188992330527972,0.0275834634894056,NA,NA,NA,0.000686903343445325,0.00419321493463552,7.193908099,-15.68573435
JDC7,Neomod,Neomod,0.00459896546216121,0.0153791779308865,NA,NA,NA,0.00578348501119549,-0.00318250710898414,6.445222238,-12.77339416
JDC8,Ctehor,Ctehor,-0.0285762574435247,-0.0325774656293241,NA,NA,NA,0.0118157578354917,0.00583364081727301,7.355785404,-17.15003525
JDC9,Asplep,Asplep,0.04348976343411,0.0604107163425999,0.00718908088831765,-0.00777054791210393,Asplep,-0.0207944606505325,0.0172001802108911,5.925939315,-13.19378889
JDD2,Psccur,Psccur,-0.0548792541273828,0.0403085384994059,NA,NA,NA,-0.0291779748736783,0.0127339262303465,5.831824757,-8.209653047
JDD6,Julorn,Julorn,0.0460620762698477,0.0555964926716258,NA,NA,NA,-0.00197032523125541,0.0132888671739604,6.324336113,-18.73267566
JDD9,Ctehor,Ctehor,-0.0302267349825984,-0.0439205564445615,NA,NA,NA,0.0222757399265029,0.00248804532188659,8.080649587,-16.56711793
JDE1,Ctehor,Ctehor,-0.0305391941131165,-0.0445494278865987,NA,NA,NA,0.0100113513210457,0.0101924110425301,6.993540815,-16.28867761
JDE8,Lepatt,Lepatt,0.0525437263179424,0.0183116748558782,-0.0130674985003867,0.105752455247819,Lepatt,-0.00591442722330519,-0.00813001892468767,7.378340187,-20.35531602
JDE9,Lepatt,Lepatt,0.0496775337759765,0.0100432685180133,NA,NA,NA,-0.00405579404763726,-0.0093643524977709,6.946003121,-19.07403649
JDF1,Gwcabe,Gwcabe,-0.0177109124002498,-0.00657111838304075,-0.0182641632673975,0.0837005916175156,Gwcabe,-0.00589580746262773,-0.0159692599554061,8.536235651,-20.09898622
JDF2,Boumic,Boumic,-0.00102495156740151,-0.0076322487228613,-0.0622700583031064,0.0652117650118429,Boumic,9.77066032436394e-05,-0.0055201293836294,7.710734005,-19.49284956
JDF7,Neomee,Neomee,0.0156837864003343,-0.0196367516905937,0.0297647320799926,0.103671687983123,Neomee,0.00626328215000764,-0.00618457004576713,6.735647458,-19.52052807
JDF8,Neomee,Neomee,0.0137143396739729,-0.00774870051667585,-0.0329491820246499,0.0848683321727178,Neomee,-0.00142481692955816,-0.00912509185665767,6.954282621,-19.6350674
JDF9,Neomee,Neomee,0.00432079873323975,-0.0148185072858166,0.0245728945947177,0.0697635771430751,Neomee,0.000723588574867047,-0.0175003509934104,7.151133527,-19.83611244
JDG1,Neomee,Neomee,-0.000186601860460308,-0.0154984754687817,0.0188645380454098,0.0876781177826064,Neomee,0.00253052536800775,-0.0110370447540211,7.256013192,-19.43400639
JDG2,Neomee,Neomee,0.00791396220295409,-0.0172950552215828,-0.0141405616814574,0.0869956692181618,Neomee,0.00393579497537445,-0.007831916371111,6.650746168,-19.7755539
JDG6,Neomee,Neomee,0.00830335604806983,-0.00517042415126304,NA,NA,NA,0.000208684688895415,-0.00969528792850563,6.762967253,-19.9404702
JDG7,Neomee,Neomee,0.0142335151292481,-0.0076601903796433,NA,NA,NA,-0.00378475543593708,-0.0108572507473317,7.028517661,-19.8143494
JDG8,Neomee,Neomee,0.0163366212146976,-0.00830054430284706,NA,NA,NA,3.9240225464654e-05,-0.0114019477081987,6.799166972,-19.7494926
JDG9,Neomee,Neomee,0.0315862967031966,-0.0117450143030836,NA,NA,NA,0.00354724491407771,-0.00585020858168524,6.727433569,-18.62808936
JDH1,Neomee,Neomee,-1.47848138022119e-05,-0.0219725987898669,NA,NA,NA,-9.25613477185153e-05,-0.00984465377180428,7.232872514,-19.66639047
JDH4,LamorS,LamorS,0.0448331321465063,-0.00369461739627975,0.0435014163284256,0.0260507965997969,LamorS,0.00766954937767874,-0.00843246378442885,7.070713355,-19.04746281
JDH5,LamorS,LamorS,0.0249707402679061,-0.0222117765269942,NA,NA,NA,0.00634802209291301,-0.00802945152572797,7.104163085,-18.66238831
JDH6,LamorS,LamorS,0.0338704903299846,-0.0121886213608166,NA,NA,NA,0.00248909800544429,-0.0027004869484581,7.222288476,-18.36986536
JDH8,Neolap,Neolap,0.0514309394201179,-0.0163849422143264,NA,NA,NA,0.0111489800431928,0.000833261288414934,6.074897539,-17.30439605
JDI6,Lepatt,Lepatt,0.0355657986844976,0.0240967334468489,-0.0181578061299406,0.120393152450453,Lepatt,-0.00927019750970497,-0.0123892252286238,7.935173658,-20.30100949
JDI7,Lepatt,Lepatt,0.0421601879483144,0.0348451612378135,-0.0101223332886634,0.0973279711627101,Lepatt,-0.0096537623629826,-0.00493204461703308,7.951272214,-20.3266719
JDI8,Lepatt,Lepatt,0.04078584996942,0.0217015525226403,-0.00817757457923231,0.0982575494544958,Lepatt,-0.0103205977350451,-0.00626306582774151,7.64452806,-20.53918972
JDI9,Lepatt,Lepatt,0.0363994449638401,0.00197205713020695,NA,NA,NA,-0.0095385261987248,-0.00768622978958457,7.502637134,-20.76951234
JEA3,Hapmic,Hapmic,0.0566210533556711,-0.0152569638031474,-0.113922324751964,0.00366959484211291,Hapmic,0.00436064057902384,-0.000151739367375476,6.710922299,-18.89301594
JEA4,Lamcal,Lamcal,0.0266980929541539,-0.00313129628577637,-0.0433284830224773,0.0412431492092791,Lamcal,0.0168851346869272,-0.0150312496563173,6.878093981,-20.3550226
JEA5,Lamcal,Lamcal,0.0277209058670068,-0.00845106357323565,-0.0406816246978348,0.0374052193543921,Lamcal,0.0133177954132528,-0.0135436006492633,5.812114486,-18.96096015
JEA6,Lamcal,Lamcal,0.0256136901239805,-0.00415718493778942,-0.0431870002705754,0.017740274916237,Lamcal,0.0146367790749571,-0.0098130187848874,6.69660823,-19.82317192
JEA7,Lamcal,Lamcal,0.0317680164504357,-0.00128309406199208,NA,NA,NA,0.0148610303064926,-0.0132001919325302,6.647746682,-20.27217663
JEA8,Cphgib,Cphgib,-0.0939148559192958,-0.026244476881778,0.00481806822779988,-0.0241537925269056,Cphgib,0.00672867721137168,-0.00117273190162004,7.482417069,-19.87692445
JEA9,Cphgib,Cphgib,-0.100803887936447,-0.0213058822382064,0.00839712072743496,-0.000969081553954865,Cphgib,0.00413188173550015,-0.0044304717760635,7.745965922,-20.57172305
JEB1,Cphgib,Cphgib,-0.103597249556854,-0.0356464523154221,NA,NA,NA,0.0107722155756664,-0.00287792477111824,8.14649801,-20.81383851
JEB6,Cyppav,Cyppav,0.0634433035666932,-0.0143436085730857,-0.0704000800748406,0.0284091126367955,Cyppav,0.0382737734927718,0.0207414882395965,6.622987877,-21.60506444
JEB7,Cyppav,Cyppav,0.0649651421369247,-0.0198314223668148,-0.0797283348956803,0.0111904296834689,Cyppav,0.0391423927554719,0.0210925191483354,6.594548897,-21.66983021
JEB8,Cyppav,Cyppav,0.0606368280023632,-0.0202976501194999,NA,NA,NA,0.0399707709489193,0.0224825726701102,6.730997735,-21.74163685
JEB9,Cyppav,Cyppav,0.0580654564381578,-0.0323571544786885,NA,NA,NA,0.0450098317559252,0.0190069056739656,6.695240874,-21.56966333
JEC1,Cyppav,Cyppav,0.05310980126963,-0.0259839412424413,NA,NA,NA,0.042452046799447,0.0198199026793122,6.753280067,-21.35056317
JEC2,Cyppav,Cyppav,0.0595285026675654,-0.0119802351876203,-0.0643492073675231,-0.00146317055611015,Cyppav,0.0399544212112204,0.0241796140917478,6.663086717,-21.53749656
JEC3,Cyppav,Cyppav,0.0616737262358136,-0.0195202891714097,-0.0805401427252294,0.0245655290015334,Cyppav,0.0374651713413869,0.02577780159688,6.790610424,-21.45088185
JEC4,Cyppav,Cyppav,0.0660350042268056,-0.0111918020941319,-0.0837102152902354,0.0365586414058019,Cyppav,0.0385826647103935,0.0277001597757913,6.9291315,-21.53698313
JEC5,Cyppav,Cyppav,0.0621666059664202,-0.0100810050918569,NA,NA,NA,0.0362581522916579,0.0230670824846753,6.847045095,-21.17617193
JEC6,Cyppav,Cyppav,0.0612745974329654,-0.00954949195653534,NA,NA,NA,0.0342246742863013,0.0188004791107979,6.706606956,-21.58605687
JEC7,Cypcol,Cypcol,0.0508803816117205,-0.00955002053936538,-0.0541110181102231,0.0253417325512447,Cypcol,0.0357555178986355,0.0220504843844118,6.934782278,-21.90078153
JEC8,Cypcol,Cypcol,0.0503859041100954,-0.0222852576251108,-0.057887874869277,0.039046074650023,Cypcol,0.0375774513162773,0.0243317734406395,7.062172935,-21.52692968
JEC9,Cypcol,Cypcol,0.0492224712194716,-0.0305341583413822,NA,NA,NA,0.0451206599525605,0.0236803136022012,7.110878448,-21.69877887
JED1,Cypcol,Cypcol,0.0509769742720896,-0.0264546333354979,NA,NA,NA,0.0393292349040767,0.0195658056662272,6.790819183,-21.97554763
JED3,Leppro,Leppro,0.00864780111261877,0.0116167936095302,-0.147289893591528,0.130923164293047,Leppro,-0.0103549364554512,-0.0195797955899379,7.904491208,-20.9865595
JED4,NeoveS,NeoveS,0.0139747647950846,-0.00227544340638776,0.0202107605840645,0.0347135047869029,NeoveS,0.0086079358645244,-0.0054969842873949,8.304917484,-22.22381852
JED5,NeoveS,NeoveS,0.0130353255790341,-0.032211363077779,NA,NA,NA,0.015099937449067,2.64753633661546e-06,7.551160346,-20.37990013
JED6,Cphgib,Cphgib,-0.0992091376168131,-0.0242254582243689,0.0401671319986484,-0.0271373832783796,Cphgib,0.00114415953700696,0.00223659953179778,7.5105376,-19.68095045
JED7,Hapmic,Hapmic,0.0416745887257521,-0.00852016703982784,NA,NA,NA,0.00457149293692742,-0.00667027329818792,7.470693428,-19.21037161
JED8,Hapmic,Hapmic,0.049749383373494,-0.018541536954964,NA,NA,NA,0.00702672365805651,-0.00370140393113842,7.281583666,-19.48586201
JEE1,Lepken,Lepken,0.0290494634882683,0.0208743090750723,-0.0603063611790549,0.119267873466617,Lepken,-0.0127820943063598,-0.0043743226141957,7.828612201,-20.83918048
JEE2,LamorS,LamorS,0.0356125701849347,0.00621632313584008,0.0596928361182923,0.0185916155898529,LamorS,0.00150094391817123,-0.00866862230963602,8.424870773,-19.13267255
JEE3,Lamcal,Lamcal,0.0218371770294124,-0.00552072529305661,NA,NA,NA,0.00658189812079675,-0.0109950404142097,6.627657602,-17.80754386
JEE4,Lamcal,Lamcal,0.0286567102303623,-0.0158016108289826,NA,NA,NA,0.00992765609602777,-0.0123704185281037,6.854898596,-18.81846714
JEE5,Lamcal,Lamcal,0.0309554408679121,0.00181159551372391,NA,NA,NA,0.00196168935645125,-0.0150639102454281,6.385400818,-20.49802137
JEE6,Lamcal,Lamcal,0.0231397778936747,-0.0114529205248787,NA,NA,NA,0.00895411693110471,-0.0146258462458687,8.34748452,-17.66075796
JEF1,Pleela,Pleela,0.0300024719741615,-0.00272858500659169,NA,NA,NA,-0.0124752779094724,-0.00587444595521986,7.754778211,-20.739688
JEF4,Batmin,Batmin,0.032570408277026,-0.0515622419428101,NA,NA,NA,-0.00397538132143454,-0.0189540786431241,7.356451176,-20.35965226
JEF5,Batmin,Batmin,0.0259412463589838,-0.0484525755537385,NA,NA,NA,-0.00213543913964282,-0.0225108570378143,7.171359609,-19.97160022
JEF6,Batmin,Batmin,0.0247514799067652,-0.065370007757401,-0.145765598212443,0.0300705059336046,Batmin,0.0006880342399587,-0.018399678895592,7.113644543,-19.46187572
JEF7,Batmin,Batmin,0.0322093043480973,-0.0589854006732068,NA,NA,NA,-0.00161699935879238,-0.0179411758752631,7.323656216,-19.92862211
JEF8,Batmin,Batmin,0.0362704187199193,-0.0665352276748375,-0.172133897965924,0.0284585489573969,Batmin,0.00341368447528328,-0.0205684281562626,6.798980624,-19.47958893
JEF9,Batmin,Batmin,0.0303880472097551,-0.0623912902748338,NA,NA,NA,0.00211375949025419,-0.0239585523870951,6.854761656,-19.56391331
JEG2,Batmin,Batmin,0.0408805625087933,-0.0553639568600192,NA,NA,NA,0.00031527092180846,-0.0185648052223974,6.678600952,-19.36666686
JEG4,Batfas,Batfas,0.0550294073533539,0.0134635138203396,-0.152953681530573,0.0739132609446055,Batfas,-0.0148959724990893,-0.0109044653892528,7.298680365,-19.93004247
JEG5,Trioto,Trioto,-0.00583513196490324,0.0366588581487034,NA,NA,NA,-0.0131292527839866,-0.011658277798299,6.491165779,-21.61626584
JEG6,Trioto,Trioto,-0.00700748121268887,0.00328043968325554,-0.0566920466952538,-0.0293590044831534,Trioto,-0.00166830905139907,-0.0171517430491526,6.403600153,-21.08202072
JEG7,Trioto,Trioto,-0.00798091718722202,0.00259118740047293,NA,NA,NA,-0.00233202472931071,-0.0185477682145441,6.183502771,-21.78638807
JEH2,Lchaur,Lchaur,0.00679188174044956,0.0129633742986208,0.0218710263297572,-0.0153424156592924,Lchaur,-0.00356947247962052,-0.00444200913293917,6.334390823,-18.88597729
JEH4,Telbra,Telbra,0.00394492804995385,0.0513497254331174,NA,NA,NA,-0.0205406534837547,0.0093725256668415,4.893576535,-11.93826857
JEH5,Telbra,Telbra,-0.00602854850285703,0.0547527271730851,NA,NA,NA,-0.0266644147549372,0.0104516682501796,5.719054231,-10.86661351
JEH6,LamorS,LamorS,0.037427353183637,-0.00642000956376372,0.0839859656174752,0.00721902110309592,LamorS,0.00384979357897002,-0.00814024309404341,8.361499436,-19.90994025
JEH7,Lamoce,Lamoce,0.0108391194039623,-0.00724016157482876,NA,NA,NA,0.00603773639616947,-0.0257425594596456,6.389405061,-20.30165237
JEH8,Simple,Simple,-0.0460673351770823,0.0283725097978782,0.020686607689336,-0.0730760297335221,Simple,-0.0318478744675424,0.00102617158953859,7.358713727,-13.50624037
JEI1,Altfas,Altfas,0.0332904156941763,-0.00394140242934074,NA,NA,NA,0.0140385052376883,-0.00440886632936152,7.017810787,-16.73504925
JEI2,Altfas,Altfas,0.0323251113668929,-0.0107476818963728,-0.0492473754148822,0.0699832935495932,Altfas,0.0202254068981972,-0.00496612548632838,7.573296951,-15.34925515
JEI3,Altfas,Altfas,0.0299750916160692,-0.00671818589956959,-0.025770587846323,0.0832465396319178,Altfas,0.01447347890812,-0.00448206510040224,7.709717563,-16.5007528
JEI9,Neofur,Neofur,0.0264308571782569,0.0129084786377498,NA,NA,NA,0.00768463151967519,-0.00667411955028796,7.029916527,-19.53255841
JUA1,Simbab,Simbab,-0.0376022431315483,0.0137148920623534,0.0431946335625865,-0.0728988794724831,Simbab,-0.0240698889610071,0.00179264931602853,6.322308555,-15.70601477
JUA2,Simbab,Simbab,-0.0373260424545052,0.0328867364453924,0.0222046367476901,-0.0833182684045471,Simbab,-0.0279998659009643,0.00361497943379337,8.814265788,-15.91185893
JUA5,Simbab,Simbab,-0.0358985591462327,0.0217602716424944,0.0493309288283403,-0.0946339092062162,Simbab,-0.0234728370662039,0.00667462658223296,6.117070774,-14.25491537
JUA6,Simbab,Simbab,-0.0368891701215906,0.02001928017188,NA,NA,NA,-0.0227778540744049,0.00052691941894831,6.119985072,-15.73796455
JUA9,Simbab,Simbab,-0.0349715671215423,0.0220756607521619,0.0443985877819092,-0.0778974834845086,Simbab,-0.0244434810967516,0.00335323777951536,7.04988365,-16.32354724
JUB1,Simbab,Simbab,-0.0285046070215014,0.0216504823945881,NA,NA,NA,-0.0221169517182955,0.00516710262805236,8.813479977,-16.02901765
JUB2,Simbab,Simbab,-0.0186218362874014,0.023687022681323,NA,NA,NA,-0.020638956424664,0.00953546974016354,7.363531644,-17.30451035
JUB3,Simbab,Simbab,-0.038567464075504,0.0113248449192339,NA,NA,NA,-0.0201608188874888,0.00329570693782254,7.562020595,-15.13271577
JUB4,Simbab,Simbab,-0.0400105626376771,0.0193440429144523,NA,NA,NA,-0.0247638054511046,0.00285454176051361,6.372070587,-16.51653935
JUB5,Simbab,Simbab,-0.0347369311514792,0.0211530842868819,0.0327250527668791,-0.0636121742474075,Simbab,-0.0229699729963621,0.00717028632838258,6.555479767,-18.26887643
JUC1,Spaery,Spaery,-0.0293518039399402,0.024076355044019,0.0354644444490121,-0.0683961850800631,Spaery,-0.00420493806704505,0.00782883327019811,5.870974801,-13.34814174
JUC2,Spaery,Spaery,-0.0373064723745759,0.00479307247051891,NA,NA,NA,-0.000601182107514867,0.00889523022516794,6.293724629,-14.21967766
