fish_n,species_true,species_our_names,species_six,six_letter_name_Ronco,genome,tribe,notes,size_male,size_female,habitat,habitat_details,diet,diet_contents,breeding,mouth_brooder,monogomous,parental_care,sociality,distribution,comments/links
5,Julidochromis regani kipili,Julidochromis regani,Julreg,Julmrk,,Lamprologini,Combine with Julmrk and call Julmrk,10,15,Intermediate Habitat,rocky crevices,Algivore,Sponges / Plankton / Algae,Rocky crevices,No,Yes (with helpers),Guard fry until independence,,Lake-wide (interspersed),
9,Lamprologus ocellatus,Lamprologus ocellatus,Lamoce,Lamoce,,Lamprologini,,5,4,Empty shells,,Invertivore,Insect Larave / Crustaceans,Shell / Harem breeders,No,No,"Some, remain near/in shell",,"Southern-, Eastern-, Northern-shore",
6,Lamprologus signatus,Lamprologus signatus,Lamsig,Lamsig,,Lamprologini,,5,3,Shallow muddy or sandy habitat,,Zooplanktivore,Zooplankton / Invertebrates,Mud hole/shell breeder,No,Yes,Yes,,Southern shore,
10,Lepidiolamprologus attenuatus,Lepidiolamprologus attenuatus,Lepatt,Lepatt,,Lamprologini,,14,10,Intermediate Habitat,Empty Shells,Piscivore,Invertebrates / Fish,Sand / Shell breeders,No,Yes (multiple females),Yes,,Almost lake-wide,
12,Lepidiolamprologus elongatus,Lepidiolamprologus elongatus,Lepelo,Lepelo,,Lamprologini,,20,16,Shallow Rocky Habitat,,Piscivore,Fish / Crusteaceans / Insect larvae,Substrate spawner,No,,Yes,,Lake-wide,
7,Limnotilapia dardenni,Limnotilapia dardennii,Limdar,Limdar,,Trophenini,,26,20,Shallow Intermediate Habitat,,Invertivore,Algae / Omnivorous,Bower breeders,Yes,No,Yes,,Lake-wide,
2,Lobochilotes labiatus,Lobochilotes labiatus,Loblab,Loblab,,Trophenini,,36,25,Intermediate Habitat,,Invertivore,Invertebrates / Custaceans (Crevice sucker),,Yes,,Yes,,Lake-wide,
11,Neolamprologus brevis,Neolamprologus brevis,Neobre,Neobre,,Lamprologini,Adrian - use Neobre,5,4,Empty shells,,Zooplanktivore,Plankton,Shell brooders,No,Yes,Shells,,Lake-wide,
12,Neolamprologus brichardi AS,Neolamprologus brichardi,Neobri,Neobri,,Lamprologini,,8,8,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,Lake-wide,
12,Neolamprologus buescheri,Neolamprologus buescheri,Neobue,Neobue,,Lamprologini,,,,Deep Rocky Habitat,,Invertivore,Invertebrates / Insect larvae,Cave/substrate spawner,No,Yes (multiple females),Yes,,Southern-shore,
8,Neolamprologus caudopunctatus,Neolamprologus caudopunctatus,Neocau,Neocau,,Lamprologini,,6,6,Intermediate Habitat,,Invertivore,Invertebrates,Cave/substrate spawner,No,Yes,Yes,,Southern-shore,
11,Neolamprologus crassus,Neolamprologus crassus,Neocra,Neocra,,Lamprologini,,8,8,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,Lake-wide,
12,Neolamprologus cygnus,Neolamprologus cygnus,Neocyg,Neocyg,,Lamprologini,,,,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,Lake-wide,
12,Neolamprologus cylindricus,Neolamprologus cylindricus,Neocyl,Neocyl,,Lamprologini,,10,10,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,Southern-shore,
12,Neolamprologus devosi,Neolamprologus devosi,Neodev,Neodev,,Lamprologini,,,,Riverine,,,,,,,,,,
6,Neolamprologus falcicula,Neolamprologus falcicula,Neofal,Neofal,,Lamprologini,,,,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,,
9,"Neolamprologus sp. ""falcicula mahale""",Neolamprologus faM,NeofaM,NeofaM,,Lamprologini,,,,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,,
12,Neolamprologus gracilis,Neolamprologus gracilis,Neogra,Neogra,,Lamprologini,,8,8,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,Western-shore (Congo),
8,Neolamprologus helianthus,Neolamprologus helianthus,Neohel,Neohel,,Lamprologini,,8,8,Shallow Rocky Habitat,,Zooplanktivore,Plankton,Cave/substrate spawner,No,Yes,Yes,,,
